,ug,ugsp,irt,ski,mas
1012,B.Sc,computer science,Teaching;Data analytics;Data scientist,Programming Language skills;Leadership;Problem Solving skills;SQL;PHP,masters in computer science
1013,BE,Electronics and Communication Engineering,News Coverage;Social Justice;Teaching;Trading;Understand human body;Content Writing,"Hardware skills;Critical Thinking;Artistic/Creative Skills;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Sales;Social Media Marketing;Linux;Proeficiency in Software like STAAD PRO, ETABS;MATLAB",Master in Techonology
1016,B.Com,Marketing,Research;Technology;Trading;Understand human behaviour;Content Writing;Data analytics;Govt. Job;Digital marketing;Home interior design;Social media marketing;Gardening;Infrastructure;Information Technology,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Interpersonal skills,marketing
1019,B.Sc,Computer Applications,Technology,"Business Knowledge, Communication Skills",Masters in Computer Applications
1022,B.Sc,Microbiology genetics,Research,Subject Knowledge,Masters in Science
1024,B.Com,Commerce,"Financial Analysis, Entrepreneurship",Accounting Skills,Charatard account
1026,BCA,Computer Science Engineering,Govt. Job,Accounting Skills,Master of computer application
1042,B.Sc,Computer Science ,Teaching;Game industry;All fields related to Data science.,Programming Language skills;Machine Learning skills;Python;SQL,MCA
1062,B.Pharm,Hospitality,Research,"Excel, Presentation Skills, Writing",Masters in Pharmacy
1063,B.Sc,Chemistry,Research,"Civil & Criminal Law, Work under Pressure",Masters in Science
1073,BA,Electronic and telecommunications ,Research;Social Justice;Teaching;Content Writing;Govt. Job;Home interior design,People management;Editing;Designing skills;Writing skills;Teaching,Master in homesciemce
1074,BA,Mechanical Engineering,Research;Social Justice;Teaching;Govt. Job;Social causes;Design,Active Listening;Leadership;Editing;Designing skills;Writing skills;Client management;Teaching,Master in home science
1075,BE,Computer Science Engineering,Data analytics;Data scientist;Machine Learning,Programming Language skills;Critical Thinking;Analytical Skills;Python,MBA
1076,B.Tech,Accountancy,Research,"Critical Thinking, Analytic Thinking, Gathering Informing",Masters in Business Administration
1083,B.Sc,Information Technology,Research,"ML, Python",Masters in Statistics
1087,B.Com,Mechanical Engineering,Design ,"Editing, Designing Skills, Sales",Masters in Computer Science
1091,BCA,Electrical and Electronics Engineering,Supply Chain Analysis;Data analytics,Programming Language skills;Analytical Skills;R;Python,MCA
1094,B.Tech,Mechanical Engineering,Technology,"AI, ML, Python, C++, R, Linux",Masters in Data Science
1103,B.Tech,Media Management,Sales/Marketing;Technology;Content Writing;Market reserach,Critical Thinking;Business Knowledge;Analytical Skills;Leadership;Writing skills;Python;Artificial Intelligence;SQL,MBA
1106,B.Sc,Automobile Engineering,Data scientist;Web development;Machine Learning,Active Listening;Programming Language skills;Gathering Information;Python;SQL;Programming Language C,Masters in computer science
1109,B.Tech,Civil Engineering,"Financial Analysis, Take risk for Profits, Technology, Entrepreneurship","Accounting Skills, Active Listening, Java, SQL, Programming, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Observation Skills, Reading",Masters in Computer Applications
1119,BBA,computer science Engineering,Understand human behaviour;Market reserach;Na,Hardware skills;Business Knowledge,Masters of business
1132,B.Sc,Electrical engineering ,"Technology, Understand Human Behaviour","Java, Programming, C++, R",Masters in Computer Science
1133,BA,Computer Science Engineering,Teaching;Govt. Job,Active Listening;Problem Solving skills;Teaching;Teaching experience,Masters in economics
1135,BCA,Instrumentation,Design;Salesforce Admin,Critical Thinking;Mass Communication;Leadership;Editing;Designing skills;Cloud Computing;SAP;Salesforce Admin,Bachelor of computer applications
1142,B.Sc,marketing,Web Designing,Programming Language skills;C++;Python;Java,MCA
1147,BCA,Mechanical Engineering,Technology;Web Designing;Data analytics,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence;SQL,Master in computer applications 
1162,BE,Mechanical Engineering,Entrepreneurship,"Critical Thinking, Analytic Thinking, Problem Solving skills",Masters in Business Administration
1168,B.Sc,Commerce,Research,"Active Listening, Analytic Thinking, Gathering Informing, Work under Pressure, Team work, Excel, Logical Skills, Reporting",Masters in Science
1169,B.Sc,Information TechNAlogy ,Research;Govt. Job,Medical knowledge,Masters in mathematics
1170,B.Com,Statistics,Understand Human Behaviour,Accounting Skills,Masters in Business Administration
1174,BE,computers,Data Analytics,"ML, Python, SQL",Masters in Data Science
1176,B.Sc,Statistics,Content Writing;Data analytics;Govt. Job;Data scientist;Gardening;Service;All fields related to Data science.,Active Listening;Artistic/Creative Skills;Communication skills;Sales;Python;Good communication skills;Teaching;Teaching experience,MASTER IN COMPUTER APPLICATIONS
1177,B.Sc,Information Technology,Financial Analysis;Research;Data analytics;Data scientist,Programming Language skills;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;SQL,Masters in Statistics
1178,B.Sc,Computer Science Engineering,Data Analyst ,"ML, Python, Analytic Thinking, SQL, Communication Skills, Tableau",Masters in Statistics
1179,B.Sc,Business Management ,Technology,"AI, Python, Java, SQL, Programming, Communication Skills, Leadership, Editing, Team work, Excel, Logical Skills, C++, Linux, Problem Solving skills",Masters in Computer Applications
1185,BBA,Commerce,Financial Analysis;Research;Sales/Marketing;Teaching;Trading;Understand human body;Web Designing;Data analytics;Digital marketing;Retailer;Web development;Gardening;Service;Infrastructure,Accounting Skills;Gathering Information;Finance related skills;Writing skills,Marketing
1187,B.Com,Computer Science Engineering,Financial Analysis,"Accounting Skills, Active Listening, Critical Thinking, Analytic Thinking, Java, Communication Skills, Cost Accounting, Excel",Masters in Business Administration
1191,B.Sc,Computer Science Engineering,Technology,"SQL, Problem Solving skills",Masters in Computer Science
1193,BE,Computer Science,"Financial Analysis, Technology","AI, Java, SQL, C++, R, Linux",Masters in Computer Applications
