,ug,ugsp,irt,ski,job
269,BCA,BiotechNAlogy ,Sales/Marketing;Trading;Retailer;Market reserach;Construction Manegement;Excel,Business Knowledge;Product knowledge;Problem Solving skills;Risk management skills;Sales;Client management,"Listing, Marketting , Stocking and Selling"
270,B.Tech,computer science Engineering,Cloud computing,Java Enterprise Edition;Hibernate;Zuul API Gateway;Spring Cloud;Apache ZooKeeper;Amazon EC2;Zoho;Oracle CRM;Spring Boot;Spring MVC;Docker;Apache Drill;Angular,AWS Architect
273,Doctor ,Electronics and communication engineering,Understand human body,Writing skills;Medical knowledge,Dental surgeon 
274,B.Tech,Dental surgeon ,Hardware ,"
Altium Designer;Printed Circuit Board (PCB) Design;NI LabVIEW; Digital electronics semiconductors;Arduino;Xilinx Vivado;Verilog;KiCAD;NI Multisim;Eagle PCB;Electronic Circuit Design;Altium CircuitMaker;Internet of Things (IoT);Electronics Hardware Design;OrCAD Capture CIS;OrCAD",Hardware PCB Design Engineer
276,B.Tech,Biology,Technology;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,
277,BA,Electronics and Communication Engineering,Understand human behaviour;Social causes,HR;Good communication skills,HR executive
279,BE,Mathematics,Production Supervisor ,People management;Leadership;Problem Solving skills,Production Supervisor 
283,B.Tech,Computer Science Engineering,Cyber Secuirty,IBM QRadar;OWASP;Ethical Hacking;Threat & Vulnerability Management;Splunk;Vulnerability Scanning;Malware Analysis;Tenable Nessus;ePolicy Orchestrator;Metasploit;Burp Suite;Security Information and Event Management (SIEM);,"
Cyber Security Analyst"
284,B.A.F,Electronics & Telecommunications ,Financial Analysis,"Accounting Skills, Active Listening, Cost Accounting, Market Study, Excel, Logical Skills, Problem Solving skills, Writing, Sales, Building Rapport",Account Assistant 
286,B.Tech,Mechanical engineering ,Data analytics;Data scientist,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence,Python instructor
287,B.Tech,Electronics and Communication Engineering,News Coverage;Technology,Gathering Information;Business Knowledge;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Mass Communication;Leadership,Crime reporter 
288,B.A,Mathematics ,Teaching,"Critical Thinking, Artistic skills, Communication Skills, Editing, Interpersonal Skills, Reporting, Reading, Subject Knowledge",Teacher
291,B.Tech,Communication & Political Science,Data Analytics,NO,Software Developer Executive
292,B.Tech,Computer Science Engineering,Research,"Editing, Writing, Observation Skills, Reading",Student (Unemployed)
293,B.Tech,History,Research,"Editing, Writing, Observation Skills, Reading",Student (Unemployed)
294,B.Tech,History,Software Job,NO,graduatee engineer
298,B.Sc,Mathematics ,Govt. Job,Accounting Skills;Programming Language skills;Editing;Writing skills;Python;HR;Good communication skills,Senior assistant delivery coordinator 
299,BCA,Mathematics ,Information Technology,SQL;Java;Javascript,Programmer 
300,B.Tech,Computer Applications ,Research;Data analytics;Data scientist,Active Listening;Designing skills;Python,Modeler 
302,BE,Mechanical Engineering,Sales/Marketing;Technology;Supply Chain Analysis;Govt. Job;Market reserach;Infrastructure;Design,Accounting Skills;Finance related skills;People management;Civil & Criminal Law,Quality Engineer
303,B.Tech,Mechanical Engineering,Financial Analysis,Business Analytics;Risk Analytics;SAS;Marketing Management;Market Research;Business Strategy;CommercialBanking;Portfolio Management;Supply Chain Management;Business Process Reengineering;Consumer Behaviour;Long-term Customer Relationships;Retail Marketing;Financial Accounting;credit risk modeling;Security Analysis;Working Capital Management;trategic Marketing;Investment Banking;Structured Finance,Investment Banking Analyst
305,B.Tech,Computer Software Engineer,Technology,"Critical Thinking, Analytic Thinking, Business Knowledge, SQL, Programming, Communication Skills, Work under Pressure, Editing, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Tableau, Building Rapport",Computer Software Engineer
307,BA,Finance ,Content Writing,Artistic/Creative Skills;Communication skills;Mass Communication;Writing skills;Content creation,Journalist 
308,Bachelor of journalism,Arts,News Coverage;Understand human behaviour;Content Writing;Govt. Job;Social causes,Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Mass Communication;Editing;Writing skills;Content creation,Junior sub editor
309,Baster of journalism,Journalism,News Coverage;Digital marketing,Active Listening;People management;Communication skills;Leadership;Editing;Social Media Marketing,Content Creator
310,B.Com,Arts,Understand human behaviour,Active Listening;Business Knowledge;Communication skills;Product knowledge,Project Coordinator
312,B.Tech,Statistics,Technology,"AI, ML, Python, Java",Java Developer
313,Diploma,Electronics and Communication Engineering,Social media marketing;Design,Designing skills;Machine Learning skills;Social Media Marketing,DET
315,BE,Mechanical Engineering,Sales/Marketing;Technology;Product Life cycle Management,People management;Leadership,Mechanical Supervisor 
316,BE,Mechanical Engineering ,Supply Chain Analysis;Product Life cycle Management,Leadership;Product knowledge;Sales,Quality Engineer 
317,B.Sc,Mechanical Engineering ,Service,Accounting Skills;Active Listening;Hardware skills;Leadership;Problem Solving skills;Good communication skills,
318,B.Tech,Chemistry,Construction,Civil & Criminal Law,Civil engineer
320,BCA,Computer Science Engineering,Technology;Data analytics;All fields related to Data science.,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Editing;Problem Solving skills;Risk management skills;Python;SQL;Java;Good communication skills,Test Analyst
321,B.Tech,Computers,News Coverage;Research;Technology;Trading;Understand human behaviour;Understand human body,Accounting Skills;Active Listening;Gathering Information;Analytical Skills;Negotiation skills;Mass Communication,
323,B.Tech,Accountancy,Data analytics;Data scientist;Machine Learning;Excel,Critical Thinking;Gathering Information;Analytical Skills;People management;Communication skills;Negotiation skills;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Interpersonal skills;C++;Presentation Skills;R;Python;SQL;Client management;Good communication skills;Teaching;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);Programming Language C,Senior PMO - Data Analyst
324,BE,Mechanical Engineering,Teaching;Technology,Analytical Skills;Leadership;Social Media Marketing,Design Engineer 
325,B.E,Mechanical Engineering ,"Financial Analysis, Take risk for Profits, Trading, Understand Human Behaviour, Understand Human Body","Accounting Skills, Gathering Informing, Business Knowledge, People Management, Product Knowledge, Excel, Observation Skills",Site engineer
326,BE,Engineering,Technology;Web Designing,Programming Language skills;Wealth Management;Python,Developer 
327,B.Sc,Computer Science ,Technology,"AI, Python",Computer Software Engineer
328,BE,Mechanical Engineering,Supply Chain Analysis;Data analytics,Active Listening;People management;Leadership,Store keeper
330,BE,Management,Web Designing;Govt. Job;Web development,"Accounting Skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;Civil & Criminal Law;Mass Communication;Editing;Product knowledge;Problem Solving skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;C++;Presentation Skills;Python;Content creation;Medical knowledge;Java;HR;Proeficiency in Software like STAAD PRO, ETABS",Sales
331,B.Tech,Mechanical Engineering,Research,Active Listening;Programming Language skills;Risk management skills;Writing skills;SQL;Java,
332,B.Tech,Computer Science Engineering,Technology,Programming Language skills;Finance related skills;Editing;C++;Python;Artificial Intelligence;SQL;Java,Associate consultant 
334,B.Tech,Information TechNAlogy,Technology;Industires;Information Technology,Hardware skills;PLC/SCADA/VLSI/DCS,Instrumentation and Control Engineer 
336,B.Tech,Electronics and Communication Engineering,"Technology,Teaching","Creativity Skills, Team work, Programming",Java Full Stack Developer
338,B.Pharmacy,computer science Engineering,Financial Analysis;Technology;Supply Chain Analysis;Data analytics;Data scientist;Web development;Service;Infrastructure,"Accounting Skills;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Medical knowledge;Java;Cloud Computing;Proeficiency in Software like STAAD PRO, ETABS;Good communication skills",
339,B.Tech,Pharmacy,Construction;Construction Manegement;Urban Planning,"Proeficiency in Software like STAAD PRO, ETABS",Civil & Structural Engineer
340,B.Sc,Civil,Technology,Programming,Tele-caller
341,B.Tech,Computer Science Engineering,Web Designing;Web development,Javascript,Associate Consultant
342,B.Sc,MATHEMATICS,Technology,Communication Skills,Chemist in pharmaceutical
343,BE,Chemistry,"Research, Teaching, Technology","Gathering Informing, Leadership, Market Study, Team work",Design Engineer
346,B.Tech,Automobile Engineering,"Financial Analysis, Technology, Entrepreneurship, Understand Human Behaviour","Accounting Skills, Active Listening, Gathering Informing, Java, SQL, Programming, Communication Skills, Work under Pressure, News Gathering, Editing, Product Knowledge, Excel, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Observation Skills, Building Rapport",Java Developer
347,B.Tech,Computer Science Engineering,Data analytics;Data scientist;Social media marketing,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );C++;Python;SQL;Java;AWS,Software Engineer
348,B.Tech,Information Technology,"Technology, Understand Human Behaviour","ML, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Leadership, Product Knowledge, Team work, Excel",Computer Software Engineer
350,B.E,Accountancy,"Research, Sales/Marketing, Social Justice, Teaching, Technology, Entrepreneurship, Understand Human Behaviour","Programming, Communication Skills, Work under Pressure, Leadership, Editing, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Problem Solving skills, Mass Communication, Writing, Reading, Designing Skills, Sales",Business developer
354,B.Tech,"Mathematics, Statistics and Computer science",Mobile App Development,C++;Python;SQL;Java;Architecture;PHP,Mobile Application Developer
355,BCA,Computer Science Engineering,Research;Teaching;Technology;Govt. Job,Active Listening;Programming Language skills;Critical Thinking;Business Knowledge;People management;Negotiation skills;C++,
356,B.Com,Computer Science Engineering,"Financial Analysis, Research, Technology","Accounting Skills, Business Knowledge, People Management, Work under Pressure, Cost Accounting, Reading",Chartered Accountant
358,B.Tech,Accountancy,Technology,NO,Software Developer
359,BBA,Computer Science Engineering,"Social Justice;Technology;Web Designing;Digital marketing;Web development;Market reserach;Social media marketing;Information Technology;Machine Learning;Agriculture, services",Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Leadership;Designing skills;Machine Learning skills;Sales;Social Media Marketing;Artificial Intelligence;Good communication skills;Us & Canada Recruitment (IT);AWS;PHP,Web Developer and Digital Marketer
361,Baster of journalism ,EcoNAmics,Content Writing,Editing,Sub-editor 
365,B.Tech,Computer Applications,"Machine Learning,All fields related to Data science",Python; C++; problem solving ;KIVY; competitive programming; data structures ;backend web development ;spring boot; spring framework,Software Developer
366,BBA,Statistics,Trading,Leadership,Tele-caller
367,BCA,Computer Science Engineering,Technology;Govt. Job,Analytical Skills;Communication skills;Product knowledge;Risk management skills;Good communication skills,Customer service 
368,Hh,Accountancy,Social Justice,People Management,Business Analyst
369,BBA,EcoNAmics,Financial Analysis;Research;Sales/Marketing;Trading,Business Knowledge;Finance related skills;Communication skills;Leadership;Interpersonal skills,Business Analyst
372,B.Tech,computer science engineering,Construction Manegement ,"Proeficiency in Software like STAAD PRO, ETABS",Civil & Structural Engineer
373,B.Tech,Civil Engineering,Technology;Data analytics;Data scientist;Web development,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL,Data Analyst 
374,B.Sc,Computer Science Engineering,News Coverage;Understand human behaviour;Content Writing;Digital marketing,Active Listening;Critical Thinking;Gathering Information;People management;Communication skills;Mass Communication;Editing;Problem Solving skills;Writing skills;Content creation,Catalog Associate
378,B.Tech,Accounting ,Data scientist;Information Technology,Data Visualization skills( Power Bi/ Tableau );C++;Linux;Python;Artificial Intelligence;SQL,Business Analyst
380,B.Tech,Political science ,Teaching,Java,Software Engineer
381,B.Tech,Computer Science Engineering,Technology,NO,Software developer
382,B.E,computer science Engineering,Entrepreneurship,"Critical Thinking, Gathering Informing, Leadership, Team work, Risk Managing",Managing director 
383,Diploma,Automobile Engineering,Design,Hardware skills;Analytical Skills;Communication skills;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills,Mechanical design Engineer
384,B.Tech,N.A,"Research, Teaching, Geography and Geology ","Analytic Thinking, SQL, Oracle, Programming, Communication Skills, Interpersonal Skills",Computer Software Engineer
386,B.Tech,civil Engineering,Research,"Accounting Skills, Cost Accounting",Data Analyst
387,B.Tech,Computer Science Engineering,Technology,"Java, SQL, Programming, Team work",Computer Software Engineer
389,B.Tech,Computer Applications,"Technology,Entrepreneurship","Creativity Skills,Leadership,Market Study, Teamwork, Programming",Java Developer
391,B.Tech,Engineering,Industires,mechanical maintenance,Maintenance Engineer-Mechanical
392,BCA,Mechanical Engineering,News Coverage;Technology;Understand human behaviour;Understand human body;Data analytics;Home interior design,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Machine Learning skills;Social Media Marketing;Interpersonal skills;Presentation Skills;Linux;Artificial Intelligence;SQL;Medical knowledge;Cloud Computing;HR,Video labeling(Artificial intelligence) and Medical Coding
394,B.Sc,Electronics and Instrumentation Engineering,"Financial Analysis, Research, Take risk for Profits, Technology, Trading","Accounting Skills, Python, Critical Thinking, Analytic Thinking, Business Knowledge, Communication Skills, Negotiation Skills, Leadership, Editing, Product Knowledge, Cost Accounting, Creativity Skills, Market Study, Team work, Derivatives, Logical Skills, C++, Problem Solving skills, Observation Skills, Risk Managing, Designing Skills, Building Rapport",Admin
395,BBA ,mathematics,Sales/Marketing,"Team work, Reporting",Marketing Manager
396,BBA,Finance and HRÃŠ,Sales/Marketing,"Leadership, C.I.T",Marketing Manager
397,BBA ,Business Administration,Sales/Marketing,"Communication Skills, Leadership, Team work, Reporting",Marketing Manager
398,B.Tech,Sales & Marketing,Technology;Data analytics;Game industry,Active Listening;Gathering Information;Artistic/Creative Skills;Editing;Problem Solving skills;SQL,Programmer
399,B.Tech,Computer science ,Technology,"Python, Artistic skills, SQL, Communication Skills, Editing, Excel, C++",Programmer
400,B.Sc,Computer Science Engineering,Financial Analysis;Data analytics;Social media marketing,Critical Thinking;Business Knowledge;Analytical Skills;SQL,Senior Analyst
401,BE,Information Technology,Research;Technology;Data analytics;Data scientist,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;Good communication skills,Quality Assurance 
402,BE,Computer Science Engineering,"Sales/Marketing, Teaching, Entrepreneurship","Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Observation Skills, Sales",Business development associate
403,B.Tech,Automobile Engineering,Statistical Programmer ,Programming Language skills;R;Python;Programming Language C;SAS ,Statistical programmer
404,B.Tech,electronic ,Financial Analysis,Accounting Skills;Analytical Skills;Finance related skills;People management;Negotiation skills,Analyst 
407,B.Tech,Computer Science Engineering,Technology;Understand human behaviour;Understand human body;Data scientist,Active Listening;Business Knowledge;Lotus Notes,Lotus Notes Admin
408,B.Tech,computer science engineering,Technology;Data analytics;Data scientist;Information Technology,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;People management;Negotiation skills;SQL;HR;Client management;Us & Canada Recruitment (IT),"Senior Technical Recruiter, Recruitment Specialist, Talent Acquisition Specialist (IT)"
410,B.Tech,Electrical and Electronics Engineering,Understand Human Behaviour,"Active Listening, Communication Skills, Designing Skills",Structural Engineer
412,B.Tech,Electrical and Electronics Engineering,Software Job,NO,digital marketing reqruiter
413,B.Tech,Mechanical Engineering,Technology,"AI, ML, Python, Java, SQL, Oracle, Programming, Work under Pressure, Leadership, Product Knowledge, Team work, Logical Skills, Presentation Skills, C++, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",Computer Software Engineer
414,B.Tech,Computer Science Engineering,Technology,Linux,Linux Administrator
417,BE,Commerce,"Research, Technology, Entrepreneurship","Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, Programming, Communication Skills, Work under Pressure, Leadership, C++, Problem Solving skills",Front End Developer
418,B.Tech,Automobile Engineering,Technology,Python,Mechanical Engineer
420,B.Tech,English,"Research, Technology","Python, Java",Computer Software Engineer
422,B.E,Electronics and Communication Engineering,Technology,"Leadership, Team work, Excel, Reading, Designing Skills",Analyst 
423,B.Tech,Automobile Engineering,Engineering,Engineering,Mechanical Engineer
425,BE,Commerce,Technology;Data scientist;Machine Learning,Active Listening;Hardware skills;Programming Language skills;Communication skills;R;Python;SQL;MATLAB;Good communication skills,store assistant
428,B.E.,Computer Applications,"Social Justice, Technology","Critical Thinking, Analytic Thinking, Business Knowledge, Communication Skills, Negotiation Skills, Leadership, Creativity Skills, Team work, Interpersonal Skills, Problem Solving skills, Risk Managing, Designing Skills",Computer Software Engineer
429,BCA,Automobile Engineering,Technology,Active Listening;Programming Language skills;Critical Thinking;Designing skills;SQL;Java;Cloud Computing,Software engineer
431,B.Tech,electrical engineering,Data scientist,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence,Developer 
432,BE,Electronics and Communication Engineering,"Research, Social Justice, Teaching","ML, Critical Thinking, Analytic Thinking, Gathering Informing, Communication Skills, Work under Pressure, Writing",Engineer
433,B.E,Civil Engineering,Sales/Marketing,"Business Knowledge, Product Knowledge, Team work, Reading, Building Rapport",Sales Executive
434,BE,Automobile Engineering,Financial Analysis;Research;Technology;Game industry ,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;SQL,Executive Engineer 
435,BE,"Electrical, Electronics and Power Engineering ",Research;Game industry;Digital marketing;Data scientist;All fields related to Data science.;Information Technology;Blockchain,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Problem Solving skills;Machine Learning skills;Presentation Skills;R;Python;SQL,Executive Engineer 
436,B.Tech,"Electrical, Electronics and Power Engineering ",Entrepreneurship,"Gathering Informing, Product Knowledge",Network engineer
439,B.Com,Insurance ,Entrepreneurship,"Business Knowledge, Leadership, Team work, Problem Solving skills",Business Analyst
440,B.Tech,Commerce,Teaching,"Active Listening, Work under Pressure,Teamwork,Interpersonal Skills, Presentation skills, Reading",Teaching
441,B.Tech,Computer Science Engineering,"Technology, Entrepreneurship","Business Knowledge, SQL, Programming, People Management, Communication Skills, Work under Pressure, Editing, Creativity Skills, Team work, Excel, Linux, Problem Solving skills, Observation Skills, Reading",Dot net Developer
442,B.Tech,Information TechNAlogy,"Research, Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Work under Pressure, digital marketing",Digital/Social Media Marketer
443,Diploma,Information TechNAlogy,"Social Justice;Teaching;Govt. Job;Agriculture, services",Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Communication skills;Leadership;Good communication skills;Teaching,Receptionist in coaching center
444,B.Tech,Geography ,Govt. Job,Hardware skills,Web Developer
445,B.Com,Mining,Sales/Marketing,Artistic/Creative Skills,Dancing 
446,B.Com,EcoNAmics ,Sales/Marketing,Artistic/Creative Skills,Dancing 
447,BBA,EcoNAmics ,Financial Analysis,"
SAP Successfactors;Financial Modeling;Corporate Finance;Equity Research;Financial Statement Analysis;Business Model Development;Financial Forecasting;Business Model InnovationBusiness Strategy",Financial Analyst
448,B.Tech,Finance,Understand human body,"
Cell Culture;Microbiology;Molecular Genetics;Microbial Genetics;Proteomics;PCR;Bioinformatics;ELISA;qRT-PCR;Mammalian Cell Culture;RNA Isolation;Site-directed Mutagenesis;Molecular & Cellular Biology;Immunology;Cell Biology;DNA Extraction",Research Fellow
453,BE,Computer Science Engineering,Research;Sales/Marketing;Technology;Understand human behaviour,Communication skills;Negotiation skills;Product knowledge;Designing skills,Design Engineer 
457,B.Tech,Mechanical engineering ,Sales/Marketing;Teaching;Technology,Accounting Skills;Risk management skills;Designing skills;Writing skills,Assistent Engineer
459,BE,Mechanical Engineering,"Teaching;Technology;Design;Agriculture, services",Active Listening;Business Knowledge;People management;Communication skills;Leadership;Designing skills;Writing skills;Social Media Marketing;Hospitality;Good communication skills;Teaching;SAP;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);mechanical maintenance;Excel,Project Manager
460,B.Tech,Automobile Engineering,Technology,"AI, ML, Python",ML Engineer
461,BE,Computer Science Engineering,Entrepreneurship,"Editing, Excel, PowerBI",Data Analyst
463,BE,Computer Science Engineering,Teaching;Technology;Trading,Programming Language skills;Critical Thinking;Artistic/Creative Skills,
465,B.Tech,Automobile Engineering,"Web development,Social causes,All fields related to Data science,Machine Learning,Data scientist",html;c;PHP;CSS;Drupal;Javascript;MSSQL;jQuery;NetBeans;MySql;Ajax;XML,Web Developer
466,B.Tech,Computer Science Engineering,"Research,Understand human body,BioTechnology",Cell culture ;plant tissue culture; environmental biotechnology; microbiology ;nanomaterials ;nanoparticles;nanobiotechnology; gas chromatographyHigh-Performance Liquid Chromatography (HPLC); electrospinning; mammalian cell culture ;bacterial culture; ndds ;chromatography;Tissue culture;UV/Vis Spectroscopy,"
Research Associate"
467,B.Tech,Biotechnology,Technology,Integrated Circuits;Lead Generation;Android and IOS App Developer;Aurdino,Electronics  Engineer- Research Analyst
468,B.Com,Electronics & Telecommunications Engineering,Sales/Marketing,"Work under Pressure, Excel, Sales",MIS Executive 
469,B.Tech,Computer Applications,Technology,NO,graduate trainee
470,B.Sc,Computer Science Engineering,Game industry,Business Knowledge;Finance related skills;SQL;Java,HDFC BANK 
471,B.Tech,Computer science ,"Research,Understand human body,BioTechnology",Good Manufacturing Practice (GMP);Hazard Analysis and Critical Control Points (HACCP);Food Safety;Quality Assurance;Problem Solving;Critical Thinking;Food Microbiology;Food Technology,"
Lab Technician -Food Safety & Quality"
472,BALLB,Biotechnology,Litigation & Legal service,Critical Thinking;Civil & Criminal Law,Legal Associate 
473,B.Tech,Law,Data analytics,Data Visualization skills( Power Bi/ Tableau );SQL,Power
474,B.Tech,Electronics and Communication Engineering,Data analytics,Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Python;SQL;Java,Data Analyst
475,BE,Computer Science & Engineering,Design,Business Knowledge;Communication skills;Designing skills;Writing skills;Machine Learning skills,Still working jbm auto pvt Ltd company Engineering quality department
477,B.Tech,Computer Science Engineering,Sales/Marketing,"Business Knowledge, Java, SQL, Excel, Reporting",Business Analyst
478,B.Tech,Information Technology,Technology,"SQL, C++",Software
479,B.Tech,Electrical and Electronics Engineering,"Financial Analysis, Research, Technology, GIS","Active Listening, ML, Python, Analytic Thinking, SQL, Programming, Communication Skills, Creativity Skills, Team work, Logical Skills, Tableau, Reading",Assistant Professor
480,BE,Mechanical Engineering,Technology,"ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Java, SQL, Programming, People Management, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, C++, Problem Solving skills, Reading",Request Proposal Manager
481,B.E ,Communication & Political Science,Technology,"ML, Python, SQL, Oracle, Tableau",Back End Developer
482,B.Tech,Computer Science Engineering,Sales/Marketing;Design,Gathering Information;Business Knowledge;People management;Communication skills;Leadership;Sales,Business Development Manager
483,B.Sc,Chemical engineering,"Research, Understand Human Behaviour, Understand Human Body","Artistic skills, Business Knowledge, Communication Skills, Creativity Skills, Interpersonal Skills, Presentation Skills, Writing, Observation Skills, Reading, Subject Knowledge",Student (Unemployed)
484,Poo.sc,Psychology,Sales/Marketing,Sales,Sales Executive
485,B.Tech,Political science,"Technology, Trading, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Editing, Team work, Excel, Presentation Skills, Reading, Designing Skills",Traniee
486,B.Tech,Mechanical Engineering,Technology;Content Writing;Home interior design;Compering,Hardware skills;Programming Language skills;Critical Thinking;Gathering Information;Writing skills;C++;MATLAB;Good communication skills,Associate Engineer - Controls & Software
487,BE,Electronics and Communication Engineering,Technology,"Java, SQL, Oracle, Programming, Problem Solving skills",Back End Developer
489,B.Tech,Automobile Engineering,Project Management,Active Listening;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Presentation Skills,Project Manager
490,BCA,Computer Science Engineering,Technology,Programming Language skills,Developer
495,Chartered Accountancy,Mechanical Engineering,"Financial Analysis, News Coverage","Accounting Skills, AI, Business Knowledge, Work under Pressure, Leadership, Team work, Excel, Risk Managing, Reporting",Chartered Accountant
496,B.Tech,Taxation & Law,Data analytics;Web development;All fields related to Data science.,Programming Language skills;Analytical Skills;Leadership,DATA ANALYST
497,B.Tech,Mechanical(CAD/CAM) ,Data analytics;Data scientist;Information Technology,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence,
498,B.Tech,Electronics and Instrumentation Engineering,Software Job,NO,associate Engineer
500,B.Tech,Electrical and Electronics Engineering,Software Job,NO,associate Engineer
502,B.Tech,Commerce,Software Job,NO,associate Engineer
503,B.Tech,Electrical and Electronics Engineering,"Plant Automation,Sales/Marketing",Automation;Electrical Design;variable frequency drives,Sales Service Engineer-Electrical
504,B.Tech,Electrical and Electronics,Financial Analysis;Research;Teaching;Home interior design,Active Listening;Critical Thinking;Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Risk management skills;Writing skills;HR,Young Horticulture expert
505,BCA,Agriculture Engineering ,Sales/Marketing,Business Knowledge,Sales 
507,BE,Sales & Marketing,Technology;Service;Social causes;Industires;Design,Hardware skills;Business Knowledge;Leadership;Product knowledge;Problem Solving skills;Designing skills;Client management,Quality engineer 
508,B.Tech,Electronics and Communication Engineering,Technology;Industires;Sports Industry,Active Listening;Hardware skills;Mass Communication;Risk management skills,Assistent Engineer
512,Diploma,Computers,Infrastructure,Critical Thinking;Artistic/Creative Skills;Good communication skills,Back Office Executive
513,B.Tech,Civil Engineering,Technology,Active Listening;Programming Language skills;Python;SQL;Java,Software Engineer
514,B.Tech,Information TechNAlogy,News Coverage;Social Justice;Teaching;Technology;Understand human behaviour;Web Designing;Content Writing;Data analytics;Digital marketing;Home interior design;Web development;Social media marketing;Gardening;Service;Social causes;Industires;Design;Navy Defence related,Active Listening;Programming Language skills;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Leadership;Writing skills;Linux;SQL;Java;Client management;Good communication skills,Associate consultant
519,B.Sc,Computer,Understand Human Behaviour,"Gathering Informing, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, Writing, Reading",HR Executive
521,B.Pharm,Communication & Political Science,Medicine,"Life sciences;
Pharmacovigilance;pharmacology;
GMP;
Pharmaceutics;
Drug Discovery;
Clinical Trials;
Pharmacokinetics;
Clinical Research;
High-Performance Liquid Chromatography (HPLC);
Good Clinical Practice (GCP);
Good Laboratory Practice (GLP);
CRO ManagementCRO Management",Clinical Research Associate 
522,B.Tech,Pharmacy,"Research,Understand human body,BioTechnology","Cancer Research; cancer Biology ;bacterial transformation; molecular cloning; cell culture;
Gel Electrophoresis;
Fluorescence Microscopy;
Polymerase Chain Reaction (PCR);
Real-Time Polymerase Chain Reaction (qPCR)",Research Associate
524,B.Tech,Electronics and Communication Engineering,Understand human behaviour;Game industry;Blockchain,Business Knowledge;Product knowledge;Problem Solving skills,Site Engineer
525,BA,Electrical and Electronics Engineering,Trading;Understand human body;Digital marketing,Critical Thinking;Negotiation skills;Editing,Accountent
526,B.Tech,General,Technology;Trading;Web Designing;Govt. Job,Problem Solving skills;Java;MATLAB,BMS executive 
